,Content
118,"Former J&K chief minister Omar Abdullah’s sister Safia Abdullah shared a throwback picture of their childhood on his 51st birthday. “Wishing my big brother, childhood sparring partner and pillar of support,” Safia wrote as she shared an old photograph on Twitter on Wednesday. The siblings are seen smiling in the picture with Safia having a yellow dupatta wrapped around her head and was taken when they lived in England. Wishing my big brother, childhood sparring partner and pillar of support @OmarAbdullah a very happy birthday today pic.twitter.com/jjipKicMAa— Safia Abdullah Khan (@safiakhan71) March 10, 2021"
119,"Uttar Pradesh Metro Rail Corporation (UPMRC) Ltd has begun the registration process for various executive and non-executive posts from today, March 11, onwards. Candidates seeking an appointment in UPMRCL should apply by April 2 at www.upmetrorail.com. The written examination is scheduled to be held on April 17 at various examination centres across the state. UPMRC has announced to fill over 290 vacancies through this recruitment drive. "
120,"In India, for celebrating any occasion, performing any rituals or starting any new work there is a belief to follow the auspicious days and time to churn out full benefit, success and prosperity. Buying a vehicle is also a kind of occasion for a family as it becomes an asset and an investment, that is why people prefer to buy it at an auspicious time.Auspicious day refers to the days in a month or year which are considered very good for doing or starting a new thing, according to Hindu beliefs. While auspicious time or shubh muhurat is a particular hour in the day which is considered favourable for the same. Therefore, astrologers define the shubh muhurat for everything during a year."
121,"Lockdown in Mumbai? Day After City Sees Highest Spike in Covid-19 Cases Since Oct, BMC Says All Options OpenA day after Mumbai reported over 1,500 coronavirus cases in 24 hours, the BMC has said that all options, including that of lockdown, are open in front of it. “As of now, it is not on our plan. But certainly, if the cases go up like this, and if we are not getting equal support from citizens, then we can keep that option open after a detailed review. That decision will be taken at an appropriate time,” Additional Municipal Commissioner Suresh Kakani told CNN-News18. READ MORE"
122,"Just a few days away from the launch of Citroen's first car C5 Aircross flagship SUV in India, the Citroen C3 Aircross prototype has been spotted in the country during a test run in Lucknow, Uttar Pradesh. The C3 Aircross is expected to be the next car offered by the company in India, either by the end of this year or early next year. Talking about the length of the car, the international-spec model of the car, which has been reportedly codenamed CC21, measures over 4 metres in length. However, the one which will arrive here will be comparatively smaller.On observing the image of the C3 Aircross, which is going viral on the internet, one can notice the white coloured SUV features the trademark Citroen grille, split headlamp set up, LED DRLs, black-coloured ORVMs, square wheel arches, body-coloured door handles and dual-tone bumper, among others."
123,The Fukushima nuclear power plant mishap was a 2011 nuclear accident that had caused widespread radiation contamination. This happened after a massive earthquake and subsequent tsunami caused meltdowns at the nuclear power plant in the Japanese northeastern prefecture ten years ago.It was the most severe nuclear accident the world witnessed since the disaster at Chernobyl in 1986 and the only other accident classified as Level 7 on the International Nuclear Event Scale (INES).
124,"School of Inter-Disciplinary and Trans-Disciplinary Studies, IGNOU, has launched a full-time 2-year Master degree programme in Folklore for January 2021 session. The Master of Arts in Folklore and Culture Studies (MAFCS) course is available through open distance learning (ODL) mode. The course aims to focus on time, geography, space and literature of the folklore culture of India as well as the world. It will analyze the relation between folk culture and its context through the various framework taken from multiple disciplines including Literature, History, Sociology, Anthropology, Folklore Studies and Culture Studies."
125,"A day after West Bengal Chief Minister Mamata Banerjee was ‘heckled’ and suffered severe injuries, a high level team of officials led by East Midnapore District Magistrate Vibhu Goel on Thursday morning  visited the spot in Nandigram’s Birulia Bazar where the incident occurred.Midnapore DIG Kunal Agarwal, Superintendent of Police Praween Prakash and Additional Superintendent of Police Partha Ghosh also visited the spot and interacted with local people to get more information on what exactly happened with the chief minister and how she received multiple injuries all over her body."
126,"The National Testing Agency (NTA) is expected to announce the dates for the National Eligibility Cum Entrance Test (NEET) 2021 soon. This year, due to the pandemic, the medical entrance exam has been delayed. There were reports that the Ministry of Health and Ministry of Education were in talks over holding NEET 2021 twice a year, however, the final decision on the same is not disclosed, yet.While candidates are anticipating eagerly the examination dates and application forms. Medical aspirants can expect some relief just like JEE aspirants as the exam pattern for NEET is expected to have internal choices."
127,"You may have an opinion on this, and you are free to have one, but I strongly believe that the Redmi Note 10 Pro Max is by far and away the best-looking Redmi series phone. As yet, that is. This is most certainly a case of Xiaomi really upping the design game for phones starting around Rs 11,999 (that’s where the Redmi Note 10 pricing starts) and going all the way up to the Rs 21,999 mark, which is how much the top spec variant of this Redmi Note 10 Pro Max costs. In the middle there is also the Redmi Note 10 Pro, which makes it a troika of new phones that will renew Xiaomi’s already very strong grip on the affordable Android smartphone market in India. Why I say that? Numbers tell their own tale—the Q4 2020 numbers, as reported by Counterpoint, tell us what we already knew. Xiaomi has a 26% share of the Indian smartphone market, ahead of Samsung. And if phones as beautiful as these keep trickling in, Xiaomi’s Made in India phones should continue to fly off the shop shelves.It is important to illustrate the width of just the Redmi Note 10 Pro Max range that goes on sale in India at this time. The entry spec option, which is 6GB RAM and 64GB storage is priced at Rs 18,999. A spec up gets you 6GB+128GB for Rs 19,999—and why wouldn’t you really spend that extra grand to get this variant? And if you can spend Rs 21,999 on the Redmi Note 10 Pro Max, you can buy yourself the 8GB+128GB configuration. All three are available in the Dark Night, Glacial Blue and Vintage Bronze colour options. The Redmi Note 10 Pro Max’s competition? There is the very capable Samsung Galaxy M51 with prices starting around Rs 22,999 and the Realme X7 5G which is priced upwards of Rs 19,999 depending on which variant you pick. The question is, do any of the rivals feel this premium?"
128,"The Indira Gandhi National Open University (IGNOU) has announced the examination dates for Bsc post-basic nursing programme for the January session. The entrance exam will be held on April 11. All the interested and eligible candidates can apply at the official website of IGNOU, www.ignou.ac.in.The applications process has commenced and the last date to submit an application form is March 20. There is no maximum age limit to apply for admission at IGNOU."
129,"American wearables maker Fitbit has launched its first product since the company was formally acquired by Mountain View, California-based Google in a $2.1 billion (roughly Rs 15,320 crores) deal. The Fitbit Ace 3 has been launched in the US, with the international availability starting from March 15. The new Fitbit Ace 3 is aimed at kids at the age of six years old and above. It comes with a touch-enabled PMOLED display and offers up to eight days of battery life on a single charge. The wrist band is also water resistant to up to 50 metres under water, making it suitable for wearing while swimming as well. The Fitbit Ace 3 has been priced at $99.99 (roughly Rs 7,300) in the US and comes with a silicone band and adjustable clasp. The fitness band is also offered in two colour options – Black/ Sport Red and Cosmic Blue/ Astro Green. Fitbit, while making the announcement, also said that the Ace 3 will also come with two special bands based on the Minions characters from the Despicable Me franchise. The fitness band is available for purchase on the Fitbit website, and the shipping will start on March 15 on a global basis. "
130,"Maha Shivratri is the great, auspicious festival that is annually celebrated all over India with great enthusiasm and fervour. Falling during the Hindu month of Phagun, March 11 in 2021 marks the great night of Maha Shivratri. A highly significant occasion to seek blessings, fasting is an integral part of Maha Shivratri. As a result, one needs to consume only certain foods as part of the ‘vrat’ discipline and remain energetic to stay awake the whole night.Here are some ‘vrat-friendly’ recipes that you could opt for, during fasting and have a great Maha Shivratri:"
131,"In order to resolve the rising number of cheque bounce cases, the government has agreed to comply with the Supreme Court in setting up additional courts.Earlier this month, the apex court had termed the pendency of cheque bounce cases at all levels in the judiciary “grotesque” and urged the Centre to use its power under Article 247 of the Constitution to create additional courts for better administration of the Act."
132,"Adobe’s highly popular photo editing tool Photoshop is now available natively for Apple M1-powered Macs. Until now, the beta version of Photoshop was available on M1-powered devices, though users could access the native version of Adobe Lightroom. In a statement, the company claims that a wide range of features on Photoshop for Apple M1 Macs appeared to run faster during internal tests. The company adds that compute-heavy operations like Content-Aware Fill, Select Subject, and other features ran 1.5X faster compared to other versions.There are still some features on Adobe Photoshop such as ‘Invite to Edit Cloud Documents’ and ‘Preset Syncing’ that are yet to be tested. Adobe promises to improve the app’s performance for Apple M1-powered MacBook Air 13, MacBook Pro 13, Mac Mini, and future Macs with the custom ARM-based Silicon chip. Users can download the desktop app from Apple App Store on the Mac or the company’s website."
133,"The Madhya Pradesh Public Service Commission (MPPSC) has issued the admit card for the State Service Mains examination 2019 at the official website www.mppsc.nic.in. All those who had registered for the MP SSC Mains exam can download the hall ticket from the official site using their application number and password. The examination will be held in the state from March 21 to March 26. The Commission has begun this recruitment drive to fill a total of 330 vacancies. The application process for the same commenced on November 20, 2019, and it continued till December 12, 2019.The MPPSC State Service Preliminary examination was held on January 12, 2020, and the result was declared on December 21, 2020. A total of 10,767 candidates have been shortlisted for the Mains examination."
134,"A day after Mumbai reported over 1,500 coronavirus cases in 24 hours, the BMC has said that all options, including that of lockdown, are open in front of it. “As of now, it is not on our plan. But certainly, if the cases go up like this, and if we are not getting equal support from citizens, then we can keep that option open after detailed review. That decision will be taken at an appropriate time,” Additional Municipal Commissioner Suresh Kakani told CNN-News18."
135,"RoohiCast: Janhvi Kapoor, Rajkummar Rao, Varun Sharma"
136,"With a moment of silence, prayers and anti-nuclear protests, Japan on Thursday mourned about 20,000 victims of the massive earthquake and tsunami that struck Japan 10 years ago, destroying towns and triggering nuclear meltdowns in Fukushima.Huge waves triggered by the 9.0-magnitude quake – one of the strongest on record – crashed into the northeastern coast, crippling the Fukushima Dai-ichi power plant and forcing more than 160,000 residents to flee as radiation spewed into the air."
137,"The Quad summit on Friday will see Prime Minister Narendra Modi, US President Joe Biden, Australian Prime Minister Scott Morrison and Japan Prime Minister Yoshihide Suga come together for its first online meet.While both Biden and Modi will participate in the meeting of the Quadrilateral group of nations, it has not been announced whether the two leaders will have an exclusive meeting with each other."
138,"The Covid-19 vaccination certificates in the poll-bound states such as West Bengal, Tamil Nadu, Assam, and Kerala, and the Union Territory of Puducherry, will not carry a photo of Prime Minister Narendra Modi from now onwards, as decided by the Union Health Ministry under the direction of the Election Commission of India (ECI).This comes days after the Trinamool Congress (TMC) approached the ECI and called PM Modi’s photo on vaccination certificates “a violation of the Model Code of Conduct (MCC)”. In a complaint ahead of crucial West Bengal elections, the TMC accused PM Modi of stealing the due credit from frontline workers namely doctors, nurses, and healthcare workers."
139,"Following demands for reservation from various caste and sub caste groups, the government of Karnataka on Wednesday formed a high level committee to review the reservation demands. The three-member committee will be headed by a retired high court judge.The Panchamasali community has been demanding that they be included under the 2A category of the other backward classes (OBC) reservation from the present 3B category. This has already been referred to the Backward Classes Commission. The Valmiki community (ST) has also requested for increase in reservation. Retired judge Nagamohanadas has submitted a report on this. The Kuruba community has requested to be added to the ST category. In addition to this, the Veerashaiva and Vokkaliga communities have requested to be included in the central government’s reservation list, among many other communities, the order pointed out."
140,Any Day NowDirector: Hamy Ramezan
141,"The Dibrugarh University has invited applications for admission to various undergraduate and postgraduate distance programmes. All the candidates who wish to apply for Dibrugarh University admission 2021 to the semester-based two-year postgraduate degree courses, and three-year bachelor degree courses at DODL can fill the form till April 30, 2021, at the official website www.dibru.ac.in.As per the official notification, candidates seeking admission in Dibrugarh University Undergraduate (UG)and postgraduate (PG) courses will be required to download the application form from the official site and submit the duly filled application form to DODL by April 30."
142,"Pankaj Tripathi rose to prominence with roles as the power hungry Guruji in Sacred Games and the dreaded gangster Kaleen Bhaiya in Mirzapur. The actor says he always injects humour into his dark roles so that they don’t come across as extreme instances of negativity.“I use this technique purposefully to ensure that my characters don’t come off as ultimate extreme (instances) of negativity. Human nature has both sides — the good and the bad — which may be unbalanced, but never completely void of the other,” Pankaj said."
143,"March 11, 2021 marks the tenth anniversary of the devastating tsunami in Japan. The tsunami was triggered after an 9.0 magnitude earthquake, the largest ever recorded in the country, took place at the epicentre that lay 130 km offshore the city of Sendai in Miyagi prefecture on the eastern coast of Honshu Island. Nearly 20,000 people lost their lives when the country also witnessed its worst nuclear disaster at Fukushima in this catastrophic event.The media coverage of this event remained pretty much factual as reporters and media houses tried to report important information. However, the objectivity did lose some ground when the reporters wrote opinion pieces or were asked to describe what they saw."
144,"Art and talent can be found anywhere we look and thanks to the power of social media, a lot of these talented people come into viral fame. A folk artist duo also claimed some of that internet love after a video of them playing traditional instruments was shared by none other than Prime Minister Narendra Modi on his Twitter handle. The video was originally shared by a Twitter user @brijeshchaodhry and it shows two men performing a devotional folk song. While one of them plays the local Rajasthani string instrument Ravanahatha, the other person matches him perfectly with a tambourine. "
145,"Reality TV star Kim Kardashian went down memory lane and remembered her teenage days in a throwback picture on social media. In the Instagram image, a young Kim is seen sunbathing.“16 year old KK,” she wrote as caption with the picture, which currently has over three million likes on the photo-sharing website. Fans complimented her beauty and also noticed the Cartier gold band on her wrist. “Been pretty your whole life,” read one comment, while another said, “Cartier and 16 come thru KIM K.”"
146,"West Bengal Chief Minister Mamata Banerjee was hospitalised on Wednesday night with multiple injuries to her left ankle, hip and the region around the collar bone after an attack on her earlier during the day. According to reports, Mamata’s MRI scan showed a crack in her left foot, and injuries in ligament and soft tissues."
147,"The whole world celebrates March 11 every year as World Kidney Day to mark the importance of these organs in one's body. Being one of the most vital part of the human body, kidneys purify the blood by excreting toxins and wastes. However, kidney is not the first thing on our priority list when it comes to healthy eating. It is very important to keep our organs healthy as we all know that kidney diseases are silent killers which can largely affect the quality of life. There are several ways to reduce the risk of developing kidney disease, like drinking lots of water, exercises, etc. "
148,"For the first time since 2004-05, neither Cristiano Ronaldo nor Lionel Messi will be a part of the UEFA Champions League quarterfinals stage. While Cristiano Ronaldo and Juventus were stunned by FC Porto, Lionel Messi and Barcelona succumbed to a heavy defeat at the hands of Paris Saint-Germain after failing to pull off another ‘remontada’ in the last 16 stages.It’s the second successive year that Juventus and Cristiano Ronaldo went out in the round of 16 on away goals after its loss to Lyon last season. This year, goals from Mehdi Taremi and Moussa Marega propelled Porto to their first-ever victory over Juventus in the UEFA Champions League after they secured a 2-1 win over the Italian champions in the first leg of their last-16 tie. Juventus did win the return leg 3-2, however, the Portuguese team advanced on away goals rule after the tie ended 4-4."
149,"Every year, World Kidney Day is marked on the second Thursday of March. This year, the day is being observed on March 11 worldwide. In India, annually about two lakh people get kidney diseases and it's difficult to diagnose it in its initial stage. The objective of celebrating the event is to spread awareness about the increasing number of people contracting kidney diseases across the world. The day highlights the need for the strategies for prevention and management of kidney disease. It also encourages people to opt for regular screening and make changes for a healthy lifestyle."
150,"India recorded its highest daily tally of COVID-19 cases this year with 22,854 new infections, taking the total tally to1,12,85,561, according to the Union Health Ministry data updated on Thursday. The country last recorded such an increase in daily cases 76 days ago on December 25 when it registered 23,067 infections in a day.The death toll increased to1,58,189 with 126 daily new fatalities, the data updated at 8 am showed. The total active cases have increased to1,89,226 which now comprises1.68 per cent of the total infections. The number of people who have recuperated from the disease surged to 1,09,38,146 which translates to a national COVID-19 recovery rate of 96.92 per cent, while the case fatality rate stands at 1.40 per cent, the data stated.India's COVID-19 tally had crossed the 20-lakh mark on August 7,30 lakh on August 23, 40 lakh on September 5 and 50 lakh on September 16. It went past 60 lakh on September 28, 70 lakh on October 11, crossed 80 lakh on October 29,90 lakh on November 20 and surpassed the one-crore mark on December 19. According to the ICMR, 22,42,58,293 samples have been tested up to March 10 with 7,78,416 samples being tested on Wednesday. The 126 new fatalities include 54 from Maharashtra,17 from Punjab and 14 from Kerala.A total of 1,58,189 deaths have been reported so far in the country including 52,610 from Maharashtra followed by 12,530 from Tamil Nadu,12,379 from Karnataka,10,931 from Delhi, 10,283 from West Bengal,8,740 from Uttar Pradesh and 7,177 from Andhra Pradesh. The health ministry stressed that more than 70 per cent of the deaths occurred due to comorbidities. 

RELATED NEWS






As Covid Cases Surge in Mumbai, How Authorities Are Tackling The Virus in Dharavi






Denmark, Norway and Iceland Suspend Use of AstraZeneca's Covid-19 Vaccine

 
""Our figures are being reconciled with the Indian Council of Medical Research,"" the ministry said on its website, adding that state-wise distribution of figures is subject to further verification and reconciliation. .setTimeout(() => {
                            let playerscriptCounter = 0;

                            window.addEventListener('scroll', () => {
                                let pageYOffset = window.pageYOffset;
                            
                                if(pageYOffset > 80 && playerscriptCounter == 0) {
                                    let playerscript = document.createElement('script'); 
                                    playerscript.src =  ""//images.news18.com/static_news18/pix/ibnhome/news18/js/custom-js/pubstack-player/news18-gujrati/prod-player-react.js""; 
                                    playerscript.defer =  true;
                                    document.body.appendChild(playerscript);
                            
                                    playerscriptCounter++
                                }
                            });
                        }, 3000)The death toll increased to1,58,189 with 126 daily new fatalities, the data updated at 8 am showed. The total active cases have increased to1,89,226 which now comprises1.68 per cent of the total infections. The number of people who have recuperated from the disease surged to 1,09,38,146 which translates to a national COVID-19 recovery rate of 96.92 per cent, while the case fatality rate stands at 1.40 per cent, the data stated."
151,"The fourth edition of Pariksha Pe Charcha (PPC) for the year 2021 will be held this month. The registration process for the same was started on February 18 and will end on March 14. Over 7.85 lakh students, 2.09 lakhs teachers and 72000 parents have registered so far for the interaction so far. PPC is an initiative by Prime Minister Narendra Modi to interact with the school students of Class 9 to 12 and share some useful tips to help them to cope up with the exam pressure. The initiative was launched in 2018. The first edition of PPC was held at Talkatora Stadium.PPC will be held virtually this year due to the Covid-19 pandemic. Ministry of Education has brought some changes this year as teachers as well as parents can also participate in the programme along with the students. Those willing to participate will have to register themselves at innovateindia.mygov.in and complete any of the task provided under the themes section. The themes are different for students, teachers and parents. They will have to submit their responses in 500 characters. They must ensure that the responses are original, creative and simple. After the successful entry, all the participants will get a digital certificate of participation."
152,"Twitter is launching a test for a small group of iOS and Android users to give people a preview of the company’s fix for the annoying image cropping issue. Twitter has come up with a solution for the issue, which is not cropping the image when its posted on a timeline. Twitter, on Wednesday, said that it is now testing a “what you see is what you get” image preview within the tweet compose box and is experimenting with displaying full-frame images. Twitter’s Chief Design Officer Dantley Davis, in a thread, said that the company is launching a test for some iOS and Android users to “give people an accurate preview of how their images will appear when they tweet a photo.” He said that people in the test will see that most tweets with a single image in standard aspect ratio will appear uncropped when posted. People will see exactly what the image will look like in the composer tool before its posted. Very wide or tall images will be center-cropped, Twitter said. "
153,"Poco India is teasing the launch of a new device that appears to be a Pro model of an existing smartphone. As per the teaser, the company appears to be hinting at the launch of the Poco X3 Pro that was a part of the rumour mill recently. A tipster had claimed that the Chinese smartphone brand would launch the Poco X3 Pro by the end of March in India. Poco launched the vanilla Poco X3 model in the country in September 2020. It is currently priced at Rs 14,999 for the 6GB RAM + 64GB storage option.The teaser by Poco India available across its social media channels also tip that the upcoming device may cost less than Rs 21,000 in India. According to tipster Sudhansu Ambhore in collaboration with 91Mobiles, the Poco X3 Pro could be priced at EUR 250 (approx Rs 21,600) for the 128GB storage option and EUR 300 (approx Rs 26,000) for the 256GB storage model. It will reportedly come in Blue, Black, and Bronze colour options. Additionally, the Poco X3 Pro is said to launch in India on March 30."
154,"Aam Aadmi Party leader and Delhi Jal Board vice chairman Raghav Chadha on Thursday said that he has tested positive for COVID-19. He said that no serious symptoms have surfaced yet but as a precautionary measure he is practicing self-isolation for the next few days.""I would like to inform you all that I have tested positive for COVID-19,"" Chadha, who is also an Aam Aadmi Party (AAP) spokesperson, tweeted.""My humble appeal to all who have come in direct contact with me in the last few days – if you notice any symptoms, please get yourself tested and take all necessary precautions. It is our responsibility to keep ourselves and others safe, preventing further spread of the virus,"" he said on Twitter. . 

RELATED NEWS






Inspired by 'Ram Rajya', Kejriwal Announces Free Visit for Elderly to Ayodhya Temple Once Completed






Unruly Scenes Witnessed in Punjab Assembly as SAD, AAP Members Disrupt FM's Speech

 
setTimeout(() => {
                            let playerscriptCounter = 0;

                            window.addEventListener('scroll', () => {
                                let pageYOffset = window.pageYOffset;
                            
                                if(pageYOffset > 80 && playerscriptCounter == 0) {
                                    let playerscript = document.createElement('script'); 
                                    playerscript.src =  ""//images.news18.com/static_news18/pix/ibnhome/news18/js/custom-js/pubstack-player/news18-gujrati/prod-player-react.js""; 
                                    playerscript.defer =  true;
                                    document.body.appendChild(playerscript);
                            
                                    playerscriptCounter++
                                }
                            });
                        }, 3000)""I would like to inform you all that I have tested positive for COVID-19,"" Chadha, who is also an Aam Aadmi Party (AAP) spokesperson, tweeted."
155,"Kenichi Kurosawa clung precariously to a tree as the water rose around him, entirely flooding the roads below.For almost six minutes on March 11, 2011, a 9.1 magnitude earthquake — the worst to ever hit Japan — struck 370 kilometers (230 miles) northeast of Tokyo, triggering a huge tsunami that crashed into Ishinomaki, the coastal city Kurosawa had lived in his whole life."
156,"The political circles in the national capital have been abuzz ever since Delhi Chief Minister Arvind Kejriwal on Wednesday afternoon expressed his desire to rule as per the principles of Ram Rajya. Participating in a debate in the Delhi Assembly, Kejriwal said that one of his guiding principles would be sending the elderly on free pilgrimage to the Ram Temple being built in Ayodhya on the site of demolished Babri Masjid.While Kejriwal’s announcements may have come as a surprise to some, those who have followed the origin and politics of the Aam Aadmi Party (AAP) would know that sooner or later this revelation had to happen. Soon after the AAP came to power for the first time in 2013, party’s then leading ideologue Yogendra Yadav was asked about the AAP’s ideological orientation."
157,"Donald Trump may not be the global newsmaker anymore after he handed the reins of American leadership to Joe Biden. But, that still didn’t stop a Chinese entrepreneur from carving out a statue of the former US President in a pose that can be remotely associated with the Republican leader. The statue looks like Trump sitting in a Buddha posture. The white-coloured ‘Trump-Buddha’ statue shows Trump sitting like Buddha, with his face lowered and hands resting together on his lap, maintaining a calm aura, with eyes shut. The statue has been listed on the Chinese e-commerce site Taobao. The larger sized statue of 4.6m is available at 3,999 yuan (Rs 44,707) and the smaller size of 1.6 meters has been priced at 999 yuan (Rs 11168). The Xiamen-based seller drew the concept from Trump’s iconic slogan “Make America Great Again.” Speaking to state-owned publication Global Times, the seller from the Fujian province said that he wanted to incorporate the idea into Chinese products by trying to deliver a message: “Make your company great again.” The seller, an entrepreneurial furniture-seller, said that people have bought them just for fun. The company made 100 of them, and already dozens have been sold out. "
158,"Passengers travelling to Dubai on Emirates Airlines can enjoy a complimentary 5-star hotel stay under the new list of benefits from the airlines. One can also avail special fares and free additional 10kg baggage allowance on the ticket bookings. The hotel stay will be at the 5-star JW Marriott Marquis Dubai from 15 March to 30 June 2021 for two nights for Business Travellers and one night for Economy Travellers.  Travellers will have to book tickets to Dubai from 8 to 28 March 2021 for travel between 15 March and 30 June 2021 to be eligible for complimentary stay at the JW Marriot Marquis. However, Business Class and First Class passengers who book flights during the same period can get two complimentary nights’ stay from the day of arrival. "
159,"India will vaccinate those above the age of 50 years in its next phase of Covid-19 inoculation drive. The priority list drawn by the National Expert Group on Vaccine Administration for Covid-19 (NEGVAC) recommended that after vaccinating nearly 30 million health care and frontline workers, the next should be those above 50 years of age, including those with comorbidities.The above 50 years of age category to be vaccinated on priority has been sub-divided into further categories — those above 60 years of age and in the specified comorbid groups, and those between 45 and 59 years of age, reported Hindustan Times."
160,"Bollywood actress Deepika Padukone believes that fitness is not just a person’s physical appearance, but a balance of mind, body and soul.“I’ve always believed that fitness is far more than just one’s physical appearance. It is about balancing the mind, body and soul. It is about being fit physically, mentally and emotionally,” says Deepika."
161,"Actor George Clooney was spotted in Massachusetts, getting behind the camera to direct Ben Affleck in the upcoming film ‘The Tender Bar’. Clooney wore a warm black puffer jacket as he sat behind the camera, lost in deep thought in between shots. Affleck seemed to be in character costume, as he wore a green jacket with black collar, worn over a plaid flannel shirt and a white tee. Actors Lily Rabe and Tye Sheridan were also spotted on the set, getting ready to face the camera."
162,"Lord Shiva is a highly revered deity for the Indian masses as well as for Asian cultures influenced by Hinduism and Buddhism. He has been represented and reinterpreted in books, music, television and cinema. On the occasion of Maha Shivratri, we take a look at five television shows that put their focus on or featured Mahadeva.Om Namah Shivay (1997-1999)"
163,"The Fashion Design Council of India has announced a new category ‘Emerging Talent’ under which young designers will be given an opportunity to prove their prowess on the runway.This new property of the FDCI will be launched at the joint phygitical fashion week it is holding with Lakme Fashion Week, slated from March 16-21."
164,"India Post has notified the recruitment of the posts of branch postmaster, assistant branch post master, and dak sevaks under Gramin Dak Sevaks for Chhattisgarh and Kerala Circle. A total of 2558 vacancies are available under this recruitment drive.Interested candidates can apply at www.appost.in till April 7, 2020. Applicants of the General/OBC/EWS/Trans male category will have to pay Rs 100 for each set of five options, while SC/ST/female/trans-woman/PWD candidates are exempted from paying the fee."
165,"With Covid-19 cases in Mumbai catapulting to new heights with each passing day, many areas in the state of Maharashtra have put curbs in a bid to contain the spread of the novel coronavirus.The latest to join the list are Nagpur where lockdown was imposed from March 15-21 and Nanded where additional restrictions have been put in place till 21 March. In Nagpur, which registered 1,710 cases on Wednesday, only essential services will be allowed."
166,"Racing Team India, led by Narain Karthikeyan, is set to become the first all-Indian-driver team to race in the iconic 24 Hours of Le Mans after being granted a provisional entry for the 2021 edition. The driver line up comprising Narain Karthikeyan, Arjun Maini and Naveen Rao will compete in the LMP2-AM category of the iconic race. The trio competed in the recent Asian Le Mans Series in the UAE but did not find much success. “This is a proud moment not just for our team, but for our nation as a whole,” Karthikeyan, who is India’s first Formula One driver, said.The 2021 24 Hours of Le Mans, the 89th running of the race at the Circuit de la Sarthe, has been postponed to August 21 and 22 from the usual date in June amid the COVID-19 pandemic. “Racing at Le Mans with an Indian team is a dream I have nurtured since 2009 when I first visited the Circuit de la Sarthe."
167,"The Varun Dhawan and Alia Bhatt-starrer “Badrinath Ki Dulhania” released four years ago on this day. The actors and director Shashank Khaitan got on a video call to secretly discuss part three of the franchise.Alia posted a snapshot from the call on Instagram stories, where the trio is seen celebrating four years of the film."
168,"Maha Shivratri is conducted in honour of the Hindu deity Lord Shiva. The occasion is believed to symbolise the union of Shiva and Parvati in marriage and the night when Shiva performed the ‘Tandava’, the dance of primordial creation, preservation and destruction. Shiva devotees fast on this day and stay up at night. They visit Shiva temples and give offerings to the deity. On this occasion, we share five Hindi songs dedicated to Lord Shiva."
169,"After a terrible 2020, the auto industry across the globe has entered the market with a bang. Most car making companies have interesting line-ups for launching new vehicles this year. Many automobile companies are also slated to launch the facelift versions of some of their offerings to boost their sales.Indian car maker Tata too has come up with discount schemes and benefits on some of its cars to give their sales a boost. The brand will be offering cash discounts, corporate discounts and an exchange bonus on its vehicles till March 31. The buyers of these selected cars can get a maximum benefit of Rs 70,000 on their purchase.Here is a look at the cars on which discounts are available, according to a report in Autocar:"
170,"Senior leader P C Chacko’s resignation over “lack of democracy in the party” has come as a shock to the Congress’ Kerala unit. Chacko made the announcement on Wednesday in Delhi. Calling it quits, Chacko said that it has become difficult to be a Congressman without being in one of the “groups”, alleging that the list of the candidates for Kerala assembly elections was not discussed in the party’s poll committee. "
171,"The pious occasion of Maha Shivratri will be celebrated on Thursday, March 11. As the name suggests, the day is marked to celebrate Lord Shiva. According to Hindu mythology, on this day Lord Shiva married Goddess Parvati. In order to celebrate this auspicious day, many devotees of Lord Shiva observe fast. Followers eat only one meal a day before Maha Shivratri and on the day, they observe a full-day fast, which is only broken on the next day. Another ritual that the Shiv bhakts follow is taking a bath in the evening, before performing the puja at night."
